feature,mean,std
Mu_Key,0.9999937184515858,1.5242487699481827e-05
MuNuR_Key,0.9999234361071611,7.185255551355612e-05
Jet1_M,0.9736454228314426,0.006964136563381027
W_M,0.9230957806235505,0.0030245020183585223
Jet1_Key,0.888555060936992,0.016445808520687766
NuR_Key,0.8590132142110222,0.2423985129189568
Jet1_PT,0.7553433826346089,0.08408171436709247
NuR_M,0.7125870553390519,0.12119885685882936
W_Key,0.6469590024999853,0.005629232373220317
Jet1_E,0.6146296621426318,0.06595366283311824
Jet1_P,0.6143061944735203,0.06600065111376982
Jet1_PZ,0.6130511014461685,0.06570723858718684
NuR_END_VZ,0.5806169367832302,0.30475936973631107
MuNuR_PT,0.4605265856288503,0.113348099667212
W_PT,0.4023517324842924,0.007349855621912308
Jet1_ETA,0.3681192298222662,0.030740919297237185
Jet1_THETA,0.3681171064636224,0.030740827526933856
NuR_END_VX,0.36756650804620256,0.086201457844487
NuR_END_VY,0.3665550447076362,0.08782769030050057
MuNuR_ETA,0.3400672493517234,0.02632906357946823
MuNuR_THETA,0.3400672493517234,0.02632906357946825
NuR_ETA,0.3371075699199073,0.075549306847871
NuR_THETA,0.33710756991990726,0.07554930684787096
W_END_VX,0.31222098174330953,0.001621534931285247
Mu_PT,0.3086908145200827,0.050686214045930975
W_END_VY,0.3070918712270073,0.0021514310587111623
Mu_THETA,0.28954691479319555,0.029895771113729246
Mu_ETA,0.2895442326559613,0.029888895122226807
W_ETA,0.2837835801333621,0.025650565405383022
W_THETA,0.2837835801333621,0.025650565405383026
Jet1_PY,0.2694558175805998,0.03639576057209765
Jet1_PX,0.26269621607752447,0.038763384162479146
Mu_PZ,0.2543779340869503,0.04809420009263865
NuR_PZ,0.249914839970467,0.043419709330898434
Mu_E,0.24983459825944257,0.05017302814776532
Mu_P,0.24983459825944257,0.05017302814776532
MuNuR_PZ,0.24515279558735506,0.03134684305151144
NuR_P,0.2436599839345115,0.04129751113092315
NuR_PT,0.24175846016289648,0.06407589216560751
NuR_E,0.240976347689298,0.045726301760049035
MuNuR_E,0.23541547172395264,0.04124305775587473
MuNuR_P,0.23541547172395264,0.04124305775587473
W_P,0.2250498276878837,0.026265137629435796
W_PZ,0.2241710444792248,0.026309985213119363
W_E,0.21463765055129982,0.026361009542209896
MuNuR_PY,0.19242222477411644,0.052440339675671355
MuNuR_PX,0.18432804137457506,0.049104809955088334
W_PX,0.1805812856082776,0.004707103422583854
W_PY,0.16584420667221914,0.007035621083771195
W_Q,0.13785059093578822,0.19624700487723531
Mu_Q,0.13785059093578822,0.19624700487723531
Mu_PY,0.08603718448260989,0.013426346023198213
Mu_PX,0.08498525717908541,0.02140703443250555
W_END_VZ,0.08474176639034474,0.005722837785128502
NuR_PY,0.07620429496900623,0.023800436626411643
MuNuR_Q,0.07541119849636825,0.05000339536426025
NuR_PX,0.07297593782159108,0.0208488464136216
nPVs,0.043710735882814676,0.017045282736980315
Mu_PHI,0.04021713025476434,0.004684136628622054
W_PHI,0.026500968547185796,0.0052593361624142755
MuNuR_PHI,0.024210203954850656,0.0034154554318713537
Jet1_PHI,0.014035590107545166,0.006606856250825834
NuR_PHI,0.011346296085441713,0.006687562782149305
